,,,,,,,,,ï¨éÀéûä˙,8[bTDC],,é¿å±ì˙,18.04.25
,,,,,,,,,à≥èkî‰,17.7,,é¿å±î«,
ÉNÉâÉìÉNäpìxÉ∆,Pme[MPa],,,,,,,,ÉNÉâÉìÉNäpìxÉ∆,Pme[MPa],,,
(degATDC),0.3,0.4,0.5,0.6,V,,,,(degATDC),0.3(1),0.4(1),0.5(1),0.6(1)
-40,0.8401365,0.845189835,0.83647557,0.840222548,,,,,17,5.103688433,5.667721973,6.14998692,6.273645
-39,0.87076941,0.87605742,0.882995978,0.894096105,,,,,18,4.895742915,5.4585405,5.924182635,6.138519135
-38,0.92859333,0.928327365,0.92048922,0.920184142,,,,,19,4.65304203,5.204270138,5.710260728,5.992645155
-37,0.962613383,0.965570287,0.980081025,0.984641542,,,,,20,4.45400634,4.983753863,5.467317345,5.78805549
-36,1.02114915,1.026053858,1.017230078,1.023800978,,,,,21,4.220981888,4.739269448,5.243054093,5.605971158
-35,1.0626084,1.070735978,1.080592328,1.087085003,,,,,22,4.026733568,4.524369728,5.010350363,5.383968608
-34,1.134098228,1.133120415,1.122137625,1.129303035,,,,,23,3.8211348,4.301553638,4.797296753,5.177626703
-33,1.178060678,1.183677233,1.195199775,1.19978376,,,,,24,3.640943513,4.101133365,4.569075315,4.959754433
-32,1.254392633,1.25250741,1.248353663,1.25538609,,,,,25,3.451615545,3.895933545,4.376352383,4.755853148
-31,1.313225655,1.309682063,1.32181476,1.328933235,,,,,26,3.299890335,3.72222711,4.171981748,4.54965987
-30,1.384652903,1.391317673,1.387766258,1.38730473,,,,,27,3.128515005,3.539321415,4.002413415,4.37161977
-29,1.45207503,1.449829973,1.469448803,1.473500858,,,,,28,2.991206663,3.386023883,3.805951328,4.171715783
-28,1.53699609,1.543293203,1.532419928,1.545843338,,,,,29,2.83697043,3.218622383,3.64619241,4.011573563
-27,1.611442823,1.613421915,1.629254655,1.63527798,,,,,30,2.705028323,3.0830037,3.476405048,3.831640418
-26,1.71206364,1.710233175,1.70214471,1.707690863,,,,,31,2.568236265,2.93024592,3.33948783,3.686689493
-25,1.790523315,1.7904138,1.807036613,1.812481073,,,,,32,2.465268698,2.811210938,3.182795333,3.532562775
-24,1.898059223,1.895931503,1.890213255,1.903222073,,,,,33,2.343488018,2.675686125,3.061890773,3.396294825
-23,1.981384493,1.984959375,2.00343612,2.013589725,,,,,34,2.247177398,2.565725243,2.917370085,3.249192713
-22,2.101522448,2.096813303,2.094192765,2.106059498,,,,,35,2.137146113,2.442294015,2.802786105,3.139059735
-21,2.195447205,2.19064419,2.216481908,2.224132313,,,,,36,2.05127853,2.352773325,2.677430543,2.99808264
-20,2.322007433,2.320826235,2.318471663,2.33245047,,,,,37,1.947028073,2.244861938,2.588449605,2.896413608
-19,2.427094898,2.431381628,2.45260407,2.464861928,,,,,38,1.873308833,2.15613132,2.467239968,2.7744843
-18,2.562909143,2.568056348,2.56305777,2.578053503,,,,,39,1.780111568,2.053789553,2.380910858,2.678713433
-17,2.68227267,2.6809272,2.70489534,2.71669167,,,,,40,1.718462445,1.979608785,2.275205415,2.56815804
-16,2.82163833,2.82495507,2.82448572,2.83590657,,,,,41,1.63496508,1.886826113,2.196409373,2.4863034
-15,2.941502498,2.948323718,2.966495385,2.98584825,,,,,42,1.573089105,1.825967063,2.101858815,2.379252488
-14,3.088127438,3.091099988,3.091256438,3.108888353,,,,,43,1.501435005,1.7406627,2.03682255,2.301668933
-13,3.210033278,3.215102258,3.235581563,3.24808974,,,,,44,1.452051563,1.683081278,1.945471395,2.20341051
-12,3.354577433,3.360937125,3.364598055,3.375025448,,,,,45,1.381852448,1.604504265,1.877071455,2.130606503
-11,3.477797453,3.481927733,3.509095275,3.526469048,,,,,46,1.340987708,1.557749183,1.804447365,2.043244823
-10,3.612164535,3.624797873,3.630633458,3.644228963,,,,,47,1.28354709,1.489662143,1.747436985,1.985843318
-9,3.727194398,3.73846662,3.7607451,3.786927008,,,,,48,1.246664003,1.443931808,1.673310975,1.90965999
-8,3.86318856,3.869657768,3.871464765,3.890614245,,,,,49,1.188910485,1.38057738,1.621346108,1.857147548
-7,3.95446149,3.969206903,3.996992423,4.017808095,,,,,50,1.154022135,1.339133775,1.556450648,1.782896378
-6,4.071220125,4.079472863,4.087796003,4.112812358,,,,,51,1.103903378,1.284149423,1.51609437,1.73418567
-5,4.142209313,4.15427943,4.18732167,4.206838808,,,,,52,1.070266628,1.249769535,1.453991543,1.663384223
-4,4.23075219,4.245411555,4.251606975,4.278852743,,,,,53,1.026679658,1.196115008,1.413533573,1.626258638
-3,4.27543431,4.289991983,4.322658743,4.352791013,,,,,54,0.996124973,1.16477025,1.355975618,1.5585549
-2,4.328822873,4.348222673,4.355865255,4.386717195,,,,,55,0.955510552,1.112711513,1.32503763,1.519137323
-1,4.347080588,4.36980495,4.41010647,4.437227078,,,,,56,0.932520225,1.088446118,1.27093722,1.463441123
0,4.396667415,4.54991019,4.602626018,4.695181838,,,,,57,0.892664588,1.033626038,1.238411265,1.42907688
1,4.819997648,5.09385555,5.102812313,5.143872615,,,,,58,0.872599875,1.019881905,1.19803152,1.37791773
2,5.308778738,5.40334494,5.371976715,5.368667798,,,,,59,0.835419533,0.975074625,1.165904513,1.347855863
3,5.564754405,5.609694668,5.589512618,5.591914125,,,,,60,0.815722478,0.95271792,1.1183046,1.298276858
4,5.745133433,5.773435238,5.73689634,5.751141113,,,,,61,0.776547398,0.91839279,1.097598443,1.273729853
5,5.937551288,5.955715133,5.924346908,5.907575468,,,,,62,0.765063967,0.899783063,1.05922908,1.22237514
6,6.135538763,6.110334668,6.084661223,6.066614715,,,,,63,0.732006082,0.859778798,1.033657328,1.202928405
7,6.288155738,6.286583415,6.261926895,6.25296231,,,,,64,0.714804405,0.848913345,0.997626892,1.158684345
8,6.427036403,6.411305355,6.356391405,6.367874835,,,,,65,0.688027988,0.809542703,0.979290952,1.138220685
9,6.45747375,6.543059723,6.469496933,6.454235235,,,,,66,0.678234217,0.796838963,0.941242312,1.09896738
10,6.453554678,6.638369063,6.558055455,6.5508744,,,,,67,0.649619513,0.766503308,0.931049595,1.082313278
11,6.33237633,6.666311033,6.620103525,6.605123438,,,,,68,0.643064258,0.758430487,0.894628035,1.04568051
12,6.20005092,6.627667883,6.609644843,6.572175068,,,,,69,0.61287723,0.7253022,0.88225284,1.025490638
13,6.000319028,6.50844516,6.608307195,6.557859893,,,,,70,0.608731305,0.717182445,0.848483107,0.991212443
14,5.8017918,6.349249463,6.557640863,6.512653665,,,,,,,,,
15,5.578733213,6.13424805,6.475332518,6.461924753,,,,,,,,,
16,5.361424163,5.92961145,6.318780825,6.361648125,,,,,,,,,
