,順位,コード,市場,名称,日付,取引値,前日比,増加値,出来高
0,1,1689,東証ETF,WisdomTree 天然ガス上場投信,09:45,2,100.0,1,3336600
1,2,7219,東証JQS,(株)エッチ・ケー・エス,09:36,2700,22.73,500,0
2,3,6177,マザーズ,ＡｐｐＢａｎｋ(株),09:47,271,19.38,44,741800
3,4,2683,東証2部,(株)魚喜,09:47,1320,14.58,168,18200
4,5,6614,東証JQS,(株)シキノハイテック,09:47,2211,13.79,268,2217800
5,6,3782,マザーズ,(株)ディー・ディー・エス,09:47,237,11.79,25,1379900
6,7,6613,マザーズ,(株)ＱＤレーザ,09:47,1313,11.18,132,2219400
7,8,2462,東証1部,ライク(株),09:47,2257,11.02,224,117200
8,9,1419,東証1部,タマホーム(株),09:47,2410,9.9,217,694400
9,10,4657,東証JQS,(株)環境管理センター,09:47,555,9.68,49,227200
10,11,3799,東証2部,キーウェアソリューションズ(株),09:47,812,9.43,70,257900
11,12,6050,東証1部,イー・ガーディアン(株),09:46,3125,9.23,264,127800
12,13,3542,マザーズ,(株)ベガコーポレーション,09:47,1949,9.13,163,227300
13,14,3608,東証1部,(株)ＴＳＩホールディングス,09:47,351,8.33,27,407700
14,15,6085,マザーズ,アーキテクツ・スタジオ・ジャパン(株),09:37,820,7.47,57,2800
15,16,7831,東証2部,(株)ウイルコホールディングス,09:47,293,7.33,20,6589300
16,17,8595,東証1部,ジャフコ　グループ(株),09:46,7490,7.15,500,135300
17,18,5202,東証1部,日本板硝子(株),09:47,679,6.93,44,1302200
18,19,6297,東証JQS,鉱研工業(株),09:47,578,6.64,36,78500
19,20,2791,東証1部,大黒天物産(株),09:46,8220,6.61,510,37500
20,21,7671,マザーズ,(株)ＡｍｉｄＡホールディングス,09:43,1244,6.23,73,200
21,22,6721,東証2部,ウインテスト(株),09:47,331,6.09,19,420200
22,23,6095,東証1部,メドピア(株),09:47,6480,5.88,360,116700
23,24,4425,マザーズ,Ｋｕｄａｎ(株),09:47,5590,5.87,310,73300
24,25,8278,東証1部,(株)フジ,09:47,2212,5.79,121,41200
25,26,3903,東証1部,(株)ｇｕｍｉ,09:47,1021,5.69,55,945400
26,27,6489,東証1部,前澤工業(株),09:47,633,5.68,34,367700
27,28,6357,東証2部,三精テクノロジーズ(株),09:47,790,5.47,41,48100
28,29,6638,東証1部,(株)ミマキエンジニアリング,09:47,698,5.44,36,68900
29,30,9275,東証1部,(株)ナルミヤ・インターナショナル,09:45,1301,5.34,66,116900
30,31,1757,東証2部,クレアホールディングス(株),09:47,81,5.19,4,464000
31,32,3546,東証1部,アレンザホールディングス(株),09:47,1382,5.18,68,187200
32,33,8233,東証1部,(株)高島屋,09:47,1203,5.16,59,718200
33,34,3697,東証1部,(株)ＳＨＩＦＴ,09:47,14530,5.14,710,70800
34,35,8039,東証2部,築地魚市場(株),09:47,2443,5.08,118,14900
35,36,3772,東証2部,ウェルス・マネジメント(株),09:44,1235,4.93,58,20800
36,37,4486,マザーズ,ユナイトアンドグロウ(株),09:45,1499,4.83,69,23800
37,38,6254,東証2部,野村マイクロ・サイエンス(株),09:47,4790,4.81,220,139600
38,39,6145,東証JQS,ＮＩＴＴＯＫＵ(株),09:46,3505,4.78,160,42100
39,40,4331,東証1部,(株)テイクアンドギヴ・ニーズ,09:47,928,4.74,42,54800
40,41,8186,東証JQS,(株)大塚家具,09:47,313,4.68,14,285000
41,42,9647,東証JQS,(株)協和コンサルタンツ,09:11,3170,4.62,140,400
42,43,6807,東証1部,日本航空電子工業(株),09:46,1797,4.6,79,114400
43,44,7726,東証2部,黒田精工(株),09:46,2323,4.59,102,34800
44,45,1438,名証2部,(株)岐阜造園,09:03,1789,4.5,77,100
45,46,3624,マザーズ,アクセルマーク(株),09:47,398,4.46,17,29600
46,47,7254,東証2部,(株)ユニバンス,09:46,377,4.43,16,598500
47,48,4911,東証1部,(株)資生堂,09:47,7907,4.4,333,560700
48,49,3912,東証1部,(株)モバイルファクトリー,09:47,1739,4.38,73,193800
49,50,3358,東証JQS,ワイエスフード(株),09:47,337,4.33,14,47500
